SIPRI Transfers Database 


 Database search results for buyer 'All Countries' and seller  'All Countries' and the years from 2011 to 2021 - (created: 11-03-2023)

Deal ID;Seller;Buyer;Designation;Description;Armament category;Order date;Order date is estimate;Numbers delivered;Numbers delivered is estimate;Delivery year;Delivery year is estimate;Status;SIPRI estimate;TIV deal unit;TIV delivery values;Local production
51398;Ukraine;Thailand;R-2;anti-tank missile;Missiles;2008;Yes;150;Yes;2011;Yes;New;0.0400;0.0400;6;No
51431;United States;Chile;Bell-412;helicopter;Aircraft;2009;Yes;2;Yes;2011;No;New;5.0000;5.0000;10;No
51829;Germany;Denmark;MTU-8000;diesel engine;Engines;2006;Yes;4;No;2012;No;New;4.0000;4.0000;16;No
39437;Sweden;Denmark;CEROS-200;fire control radar;Sensors;2006;Yes;1;No;2012;No;New;2.5000;2.5000;2.5;No
36199;Netherlands;Denmark;SMART;air search radar;Sensors;2006;No;1;No;2012;No;New;12.5000;12.5000;12.5;No
51831;Germany;Denmark;ASO-90;ASW sonar;Sensors;2006;Yes;1;No;2012;No;New;7.5000;7.5000;7.5;No
52949;Switzerland;Germany;Eagle;APV;Armoured vehicles;2010;No;95;Yes;2012;No;New;0.1400;0.1400;13.3;Yes
40299;Germany;Sweden;PiPz-3 Kodiak;AEV;Armoured vehicles;2008;No;3;Yes;2012;No;New;2.5000;2.5000;7.5;No
32389;Netherlands;Denmark;APAR;multi-function radar;Sensors;2006;No;1;No;2012;No;New;30.0000;30.0000;30;No
39227;Netherlands;Venezuela;Scout;sea search radar;Sensors;2006;No;1;No;2012;No;New;1.0000;1.0000;1;No
40110;Canada;Chile;PW100;turboprop/turboshaft;Engines;2007;No;4;No;2011;No;New;1.0000;1.0000;4;No
26474;Russia;India;Kh-35;anti-ship missile;Missiles;2011;Yes;50;Yes;2012;No;New;0.9000;0.9000;45;No
35982;Germany;UAE;MTU-595;diesel engine;Engines;2003;Yes;4;No;2011;No;New;2.0000;2.0000;8;No
35801;Denmark;UAE;Scanter-2001;sea search radar;Sensors;2004;No;1;No;2011;No;New;1.0000;1.0000;1;No
